"Region","Case.1st.Observed.Date","ID.Name","Field....S.","Narrative","CAUSE","DETERMINED.FATE","Health.status","DISENTANGLEMENT.STATUS","Seen..1yr.","Breeding..Feeding..Migratory.corridor..or.Other.","INITIAL..National.Cause.Criteria..L1.L12","FINAL.National.Cause.Criteria..L1.L12","L1","L2","L3","L4","L5a","L5b","L6a","L6b","L6c","L7a","L7b","L8","L9","L10","L11","L12","PBR..Value","Gear..Type","Trailing.","Species","anchored","calf.juv","constricting","decline","extensive.severe","fluke.peduncle","gear.free","head","healing","laceration.deep","laceration.shallow","pectoral","swim.dive","trailing","VessSpd","VessSz","wraps.multi","wraps.no"
"PAC","1/21/2015",NA,NA,"PIER 52 SEATTLE FERRY DOCK. SHARP FORCE TRAUMA CAUSED BY LARGE PROPELLER. DEFINITE CAUSE OF MORTALITY. 5-6 PROPELLER CUTS ON R SIDE/ACROSS BACK, BEGINNING JUST DORSAL OF RIGHT PECTORAL FIN. UNABLE TO SEE HOW FAR THEY EXTEND ACROSS BACK DUE TO CARCASS POSITION, VISIBLE PORTIONS 80-180CM. MODERATELY DECOMPOSED WHALE.","VS","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"VSpdUnk","VSzLarge",0,0
"PAC","2/2/2015",NA,NA,"ENTANGLED IN BLUE / GREEN GILLNET, NET AROUND HEAD / BLOWHOLE REGION, FULL GEAR CONFIGURATION UNKNOWN. ANIMAL MILLING AT SURFACE AND CHANGING DIRECTION OFTEN. HEAVY COATING OF BARNACLES ON BODY, ANIMAL IN POOR CONDITION, WITH NECROTIC TISSUE ON THE HEAD EVIDENT. HEALTH DECLINE. LONG-TERM SURVIVAL UNLIKELY. PHOTOS REVIEWED BY J. CARRETTA AND D. WELLER.","EN","SI","DEAD.DECLINE","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Gillnet",NA,"GRWH",0,0,1,1,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","2/26/2015",NA,NA,"POSSIBLE CRAB POTS. BUOY COLORS DIFFICULT TO SEE FROM COAST GUARD VIDEO, REPORTED AS RED AND WHITE. LINE COMES DOWN BOTH SIDES OF BODY AND COMES TOGETHER AT BUOY 1 ABOUT 10 FT IN FRONT OF THE FLUKE, 2ND BUOY RIGHT AT FLUKE INSERTION WRAPPED AROUND TIGHTLY WITH BUOY AT SURFACE; EXAMINATION OF USCG VIDEO BY J. CARRETTA INDICATES EVIDENCE OF CONSTRICTING WRAP AND A WHALE THAT HAS DIFFICULTY TRAVELING NORMALLY. WARRANTS USE OF SERIOUS INJURY CATEGORY L2.","EN","SI","UNKNOWN","-",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unidentified",NA,"GRWH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","3/7/2015",NA,NA,"INITIALLY SEEN BREACHING MULTIPLE TIMES, THEN RESTING AT SURFACE AND ATTEMPTING TO SWIM BACKWARDS WITH MOUTH OPEN. LINE OR ROPE TRAILING DOWN LEFT SIDE FROM MOUTH TO THE PECTORAL FIN AND AFT OF THE BLOWHOLES, UNABLE TO SEE WHERE THE LINE ORIGINATED. FULL CONFIGURATION OF GEAR IS UNKNOWN. PHOTOS REVIEWED BY J. CARRETTA.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,1,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","3/11/2015",NA,NA,"SELF REPORT FROM FISHERMAN IN HIS OWN GEAR; 1 CRAB POT ON 300 FT OF LINE SET IN 250 FT WITH 2 BUOYS (1 ORANGE/1 PURPLE) WITH TEAL LINE CONNECTING TO BLUE POLY LINE WRAPPED AROUND THE FLUKE; TIER 1 CDFW DUNGENESS CRAB GEAR. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Pot/Trap","1","GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","3/16/2015",NA,NA,"LINE COMING OUT RIGHT SIDE OF MOUTH, MORE TRAILING LINE COMING FROM UNDERNEATH. PHOTOS REVIEWED BY J. CARRETTA AND D. WELLER. PHOTOS DO NOT SHOW GEAR, BUT RESPONDERS (J. CALAMBOKIDOS) CONFIRMED PRESENCE OF GEAR. FULL GEAR CONFIGURATION UNKNOWN. ANIMAL HAS MODERATE CYAMID / BARNACLE LOAD, INDICATIONS OF A HEALTH DECLINE, THUS ASSIGNED A SERIOUS INJURY VALUE = 1.","EN","SI","DEAD.DECLINE","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unidentified","1","GRWH",0,0,0,1,0,0,0,1,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","3/19/2015",NA,NA,"GRAY WHALE REPORTED WITH TAIL ENTANGLED IN FISHING LINE, WITH ORANGE BUOY ATTACHED. NO PHOTOS OR VIDEO. GEAR CONFIGURATION AND AMOUNT UNKNOWN. REPORTED BY A TUGBOAT TO USCG.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","5/21/2015",NA,NA,"USCG SECTOR NORTH BEND, OREGON REPORTED WHALE TO BE TRAVELING NORTH AT 3 MPH WITH 3 OTHER CONSPECIFICS AND A CALF. 30 FEET OF LINE WITH A SINGLE YELLOW BUOY TRAILING BEHIND THE WHALE, APPEARED TO BE MOVING OKAY AND NO DESCRIPTION OF WHERE ON THE BODY LINE WAS WRAPPED. 5/25/2015: REPORTED AGAIN BY A WHALE WATCH VESSEL OUT OF DEPOE BAY, WAS SIGHTED HOURS EARLIER IN NEWPORT, OR. LAST KNOWN LOCATION ON 5/25/2015 WAS JUST SOUTH OF THE CAPE MEARES LIGHTHOUSE SWIMMING NORTH AT 3MPH. GEAR CONFIGURATION UNKNOWN, ASSIGNED L10.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Pot/Trap","1","GRWH",0,1,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","5/23/2015",NA,NA,"A FRESH GRAY WHALE CARCASS WAS DISCOVERED ON THE COPPER RIVER DELTA. THE CARCASS DISPLAYED LINEAR CUTS AND CHAFING ON THE ROSTRUM, INDICATIVE OF RECENT GILLNET ENTANGLEMENT. EXAMINED BY K. WYNNE AND E. LYMAN.","EN","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Gillnet",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","7/30/2015",NA,NA,"FISHERMEN SELF-REPORT, BRINGING IN SET NET WHEN GRAY WHALE APPROACHED FROM UNDER BOAT, HIT NET, SPUN, VIOLENTLY REACTED, EVENTUALLY BROKE FREE, UNCERTAIN IF ANY GEAR REMAINED ON WHALE; FISHERMAN UNSURE IF EVEN REALLY EVER ENTANGLED BUT 20 FT OF HIS NET MAY BE MISSING. UNKNOWN GEAR CONFIGURATION ON ANY REMAINING GEAR. NO PHOTOS.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Gillnet",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","8/15/2015",NA,NA,"JUVENILE GRAY WHALE FOUND ANCHORED AND ENTANGLED IN A MARINE SET GILLNET INSIDE NEAH BAY. WHALE HAD 3-4 MULTIPLE WRAPS OF LEADLINE AND CORKLINE AROUND THE CAUDAL PEDUNCLE WITH LINES STREAMING OVER THE FLUKE LEADING TO A MASS OF GILLNET MESH AND LINES. WHALE REMAINED IN AREA, WITH MULTIPLE DISENTANGLEMENT EFFORTS CONTINUING INTO SEPTEMBER. FINAL PHOTOS OF WHALE SHOW ANIMAL SWIMMING FREE, FEEDING NORMALLY, AND APPARENTLY GEAR FREE. INITIAL INJURY ASSESSMENT IS L2 BECAUSE OF CONSTRICTING GEAR, BUT FINAL ASSESSMENT IS NON-SERIOUS INJURY BECAUSE OF INTERVENTION EFFORTS TO REMOVE GEAR (=RESCUE). BIOPSY SAMPLE ALSO OBTAINED AND SENT TO SWFSC. PHOTOS AND NARRATIVE PROVIDED BY MAKAH TRIBE, REVIEWED BY J. CARRETTA.","EN","NS","UNKNOWN","Released",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Gillnet",NA,"GRWH",1,1,1,0,0,0,1,0,0,0,0,0,1,0,"VSpdUnk","VSzUnk",1,0
"PAC","9/8/2015",NA,NA,"GRAY WHALE REPORTED AS ENTANGLED IN NETTING, NO ADDITIONAL DETAILS.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Netting",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","9/26/2015",NA,NA,"VESSEL REPORTED A GRAY WHALE ENTANGLED IN NETTING 12 MILES OFF SAN ONOFRE. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Netting",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","12/21/2015",NA,NA,"ENTANGLED ON LEFT SIDE TRAILING LOBSTER-TYPE BUOY POSSIBLY ALSO ON FLUKES, BUOY ORANGE IN COLOR AND EASILY VISIBLE. GEAR CONFIGURATION UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Pot/Trap","1","GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","2/5/2016",NA,NA,"ENTANGLED IN ROPE, A SINGLE WHITE BUOY. TRAVELING WITH OTHER WHALES SOUTHBOUND, NO PHOTOS. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","3/24/2016",NA,NA,"""S"" SHAPED LACERATIONS ALONG LEFT LATERAL SIDE AT ABDOMINAL (6) AND PEDUNCLE (6)INDICATE THIS ANIMAL WAS HIT BY A SHIP, ALTHOUGH IT IS NOT CLEAR IF THIS HAPPENED BEFORE OR AFTER DEATH.","VS","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/21/2016",NA,NA,"JUVENILE OR CALF SWIMMING NORTH WITH YELLOW LINE, MULTIPLE WRAPS AROUND TAIL STOCK, OVER FLUKES, 2 WHITE BULLET BUOYS AT BASE OF TAIL STOCK, LINE TRAILING WHALE 50 FEET. ANIMAL RE-SIGHTED ON 4/27/2016, SWIMMING WITH ADULT ANIMAL OFF BIG SUR. NO TELEMETRY ATTEMPT MADE BECAUSE OF SMALL SIZE OF WHALE. CONFIGURATION AND SEVERITY OF ENTANGLEMENT UNKNOWN. OUTCOME UNKNOWN. EXTENSIVE WRAPS LIKELY TO BECOME CONSTRICTING AS ANIMAL GROWS.","EN","SI","UNKNOWN","-",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unidentified","1","GRWH",0,1,1,0,1,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",1,0
"PAC","4/22/2016",NA,NA,"LINE WRAPPED AROUND THE BASE OF THE FLUKES; WHITE BUOY AT BASE OF TAIL, TRAILING LINE APPEARS TO BE 15-20 FEET LONG, NO FLOATS ATTACHED TO TRAILING LINE [NOT SAME WHALE AS 20160421ER, BASED OFF COMPARISON OF VIDEO TO PHOTOS, BODY SIZE, SWIMMING PATTERN, COLOR PATTERN]. ANIMAL DESCRIBED AS MOVING NORTH AT 2-3KTS AND NOT USING ITS FLUKES VERY MUCH. EVIDENCE OF CONSTRICTING ENTANGLEMENT BASED ON LIMITED USE OF FLUKES.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified","1","GRWH",0,0,1,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","7/22/2016",NA,NA,"USCG MOTOR LIFEBOAT STRUCK A GRAY WHALE WHILE TRAVELING AT APPROXIMATELY 10 KNOTS. FOLLOWING COLLISION, WHALE POPPED ITS HEAD ABOVE THE SURFACE AND THEN DOVE. USCG MOTOR LIFEBOATS ARE APPROXIMATELY 45 FT IN SIZE. NO DETAILS ON INJURY TO WHALE.","VS","NS","UNKNOWN","-",0,"M",NA,"L6C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdSlow","VSzSmall",0,0
"PAC","8/1/2016",NA,NA,"MULTIPLE DEEP CUTS INTO LEFT THORAX AND ABDOMEN CLEARLY INDICATE PROPELLER WOUNDS. MODERATELY-DECOMPOSED CALF.","VS","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-",NA,"GRWH",0,1,1,0,0,0,0,0,0,1,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","1/28/2017",NA,NA,"TIGHT MULTIPLE WRAPS AROUND TAILSTOCK RIGHT AT THE FLUKE INSERTION WITH 3 LINES CUTTING INTO THE LEADING EDGES OF THE FLUKES AND TRAILING OVER THE TOP OF THE FLUKES. THE REST OF LINES WRAPPED AROUND PEDUNCLE GO UNDER THE TAIL AND TRAIL APPROX. 50-75 FEET BEHIND THE WHALE. IN THE LINE THERE ARE THREE BUOYS (ALL BULLET) WITH ONE BEING A BIT SMALLER ORANGE AND THEN TWO LITTLE LARGER BUOYS. ONE WAS ALL ORANGE AND THE OTHER TRICOLOR WITH ORANGE AT TOP/ WHITE IN MIDDLE / AND BLACK ON BOTTOM. THIS BUOY HAD A CALIFORNIA DCRAB TAG THAT WAS LIGHT BLUE BUT COULDN'T READ ANYTHING ON IT. PARTIAL DISENTANGLEMENT ACCOMPLISHED AND RESIGHT OF ANIMAL NEXT DAY INDICATED BUOYS HAD MOVED FURTHER BACK TOWARD TAIL. ANIMAL WAS USING ITS PECTORAL FLIPPERS FOR SWIMMING PRIMARILY. ASSIGNED SERIOUS INJURY UNDER L2 DUE TO CONSTRICTING NATURE OF GEAR REMAINING ON ANIMAL AND APPARENT INABILITY TO FULLY-UTILIZE ITS FLUKES. EVIDENCE OF HEALTH DECLINE INDICATED BY LIMITED FLUKE MOBILITY.","EN","SI","DEAD.DECLINE","-",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Pot/Trap","1","GRWH",1,0,1,0,0,0,1,0,0,0,0,1,0,1,"VSpdUnk","VSzUnk",1,0
"PAC","1/29/2017",NA,NA,"A 65FT COASTAL CRUISER STRUCK A WHALE WHILE TRANSITING BETWEEN NEWPORT HARBOR AND DANA POINT HARBOR, 2 NM NW OF DANA POINT HARBOR. INJURED GRAY WHALE IS REPORTED ALIVE AND APPEARS TO HAVE THE FOLLOWING INJURIES: 3 DEEP LACERATIONS NEAR ITS PECTORAL FIN. LOTS OF BLOOD IN WATER.","VS","SI","UNKNOWN","-",0,"M",NA,"L6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-",NA,"GRWH",0,0,0,0,0,0,0,0,0,1,0,1,0,0,"VSpdUnk","VSzLarge",0,0
"PAC","2/12/2017",NA,NA,"ENTANGLED WHALE HAD WOOD-LIKE FLOAT TRAILING 30 YARDS BEHIND. WHALE BREACHING FOR 10-15 MIN BEFORE MOVING ON WITH OTHER WHALES. NO PHOTOS, GEAR TYPE / CONFIGURATION UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified","1","GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","3/12/2017",NA,NA,"FREE-SWIMMING WHALE TRAILING A SINGLE BUOY APPROXIMATELY 10 FEET BEHIND ANIMAL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. ANIMAL RESIGHTED NEXT DAY, 15 NMI NW OF PREVIOUS DAY'S POSITION, STILL TRAILING BUOY, NOT RAISING FLUKES ABOVE WATER DURING SEVERAL SURFACING CYCLES. VIDEO REVIEWED BY J. CARRETTA.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified","1","GRWH",0,0,0,0,0,0,0,0,0,0,0,0,1,1,"VSpdUnk","VSzUnk",0,0
"PAC","3/19/2017",NA,NA,"WHALE SWIMMING WITH MASS OF BLUE ROPE, PINK GILLNET, AND BLACK FLOATS AROUND FLUKES. CLOSE-UP PHOTO SHOWS OPEN WOUND WHERE BLUE ROPE AND FLOATS ARE ATTACHED. CONSTRICTING ENTANGLEMENT. SERIOUS INJURY BECAUSE OPEN WOUND HAS POTENTIAL TO BECOME NECROTIC. VIDEO AND PHOTOS REVIEWED BY J. CARRETTA.","EN","SI","UNKNOWN","-",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Gillnet",NA,"GRWH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","3/28/2017",NA,NA,"PINK MONOFILAMENT NETTING ON HEAD, EXTENDING BACK PAST BLOWHOLES AND DOWN LEFT SIDE OF ANIMAL TO WATERLINE. MONOFILAMENT NETTING WOUND ON ITSELF. WHALE IS RAISING ITS FLUKES DURING DIVE CYCLES. TOTAL AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. PHOTOS REVIEWED BY J. CARRETTA.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Gillnet",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/1/2017",NA,NA,"GRAY WHALE SWIMMING WITH LARGE METAL FRAME AROUND HEAD, JUST POSTERIOR TO BLOWHOLES. FRAME IS FIRMLY ATTACHED TO WHALE AND IS CONSIDERED TO BE A SERIOUS INJURY DUE TO THE CONSTRICTING NATURE OF THE ENTANGLEMENT AND PROBABILITY OF PREVENTING THE WHALE FROM FEEDING PROPERLY. WHALE RESIGHTED 9 DAYS LATER AS IT MOVED NORTH ALONG THE COAST. PHOTOS / VIDEO REVIEWED BY J. CARRETTA.","EN","SI","UNKNOWN","-",0,"M",NA,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Marine Debris",NA,"GRWH",0,0,1,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/15/2017",NA,NA,"BLUE LINE ON TAIL WITH KELP, GILLNET WRAPPED AROUND TAILSTOCK AND LEADING EDGE OF FLUKE; RIGHT TIP OF FLUKE BROKEN OFF AND POSSIBLE NECROTIC TAIL; INITIAL MEASUREMENTS ~6 INCH MESH SIZE. SWIMMING SLOWLY, MOSTLY WITH PECTORAL FLIPPERS, SURFACING HEAD 1ST AND NO FLUKE UP DIVING. WHALE DISENTANGLEMENT TEAM REMOVED OVER 100 FEET OF GILLNET (=RESCUE). THERE IS STILL SOME WEBBING AND LINE REMAINING ON FLUKES. CONSIDERED SERIOUS INJURY DUE TO ORIGINAL AND POSSIBLY CONTINUING CONSTRICTING NATURE OF ENTANGLEMENT.","EN","SI","UNKNOWN","Partial",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Gillnet","1","GRWH",0,0,1,0,0,0,0,1,0,0,0,1,1,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/16/2017",NA,NA,"ORANGE LINE WRAPPED AROUND CAUDAL PEDUNCLE. NO PHOTOS. UNKNOWN GEAR CONFIGURATION AND AMOUNT.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/19/2017",NA,NA,"CALF OF PAIR ENTANGLED WITH YELLOW / ORANGE ROPE OVER BACK. WHITE LINE DRAPED OVER UPPER TAILSTOCK. GEAR AMOUNT AND CONFIGURATION UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","4/21/2017",NA,NA,"BLUE ROPE/GEAR TRAILING 5 FEET, SMALL BLUE BUOYS. VIDEO REVIEWED BY J. CARRETTA. GEAR CONFIGURATION AND AMOUNT UNKNOWN.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"VSpdUnk","VSzUnk",0,0
"PAC","4/28/2017",NA,NA,"GEAR FROM MULTIPLE POTS WRAPPED AROUND CAUDAL PEDUNCLE OF DEAD, FLOATING MALE CALF OF THAT YEAR (20 FEET IN LENGTH). FISHERY SOURCE BASED ON GEAR TAGS RETRIEVED FROM WHALE. NECROPSY DETERMINED ENTANGLEMENT AS CAUSE OF DEATH.","EN","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Pot/Trap",NA,"GRWH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","6/12/2017",NA,NA,"UNHEALED SEVERE ENTANGLEMENT INJURIES ON TAILSTOCK AND FLUKE. DEEP CUTS FROM LINES ON EACH SIDE OF FLUKE INSERTION, WRAP INJURY WITH ABRAIDED TISSUE CUTTING DEEP INTO RIGHT FLUKE (2/3 TOWARD TIP). POSSIBLE IMPRESSIONS ACROSS HEAD. EVIDENCE OF CONSTRICTING ENTANGLEMENT.","EN","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unidentified",NA,"GRWH",0,0,1,0,1,0,0,1,1,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","6/15/2017",NA,NA,"GRAY WHALE WITH FISHING LINE ENTANGLED AROUND TAIL. IT WAS SWIMMING BUT SLOWLY NEAR FISHING BOATS BY THE MOUTH OF THE LAGOON. ADDITIONAL DETAILS: REPORTED BY LOCAL FISHERMEN ON 6/14/17 IN CHIGNIK LAGOON. SMALL GRAY WHALE, POSSIBLY SUBADULT. GEAR DESCRIBED AS JAPANESE FISHING NET WITH BLACK FLOATS (SHE DOESN'T KNOW HOW THEY ID'D AS JAPANESE). NET WRAPPED AROUND FLUKE. ASSIGNED PRORATED SERIOUS INJURY DUE TO UNKNOWN AMOUNT AND CONFIGURATION OF GEAR.","EN","PR","UNKNOWN","-",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Netting",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","7/29/2017",NA,NA,"KILLED AND HARVESTED BY LOCALS ON THE KUSKOWIM RIVER.","ILLEGAL HUNT","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"-",NA,"GRWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","11/8/2017",NA,NA,"DEAD ANIMAL WITH ROPE, NETTING AND WIRE IN MOUTH. GEAR CAME LOOSE FROM ANIMAL WHILE IT WAS ROLLING AROUND IN SURF.","EN","MT","DEAD.DECLINE","-",0,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unidentified",NA,"GRWH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","12/11/2017",NA,NA,"YELLOW ROPE ON TAIL AND TRAILING 100 FEET BEHIND WHALE; RESPONSE EFFORTS CONFIRMED 8 INCH PINK MONOFILAMENT GILLNET WRAPPED AROUND TAIL, INCLUDING MULTIPLE BLACK FLOATS, YELLOW AND BLACK ROPE. ANIMAL SWIMMING SLOWLY NORTH AND DIVING. INTERVENTION RESPONSE RESULTED IN THE CUTTING AND REMOVAL OF SOME GEAR. WHALE WAS LOST AFTER THIS INTERVENTION AND REMAINING GEAR AMOUNT AND CONFIGURATION IS UNKNOWN.","EN","PR","UNKNOWN","Partial",0,"M",NA,"L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"Gillnet","1","GRWH",0,0,1,0,0,0,0,0,0,0,0,0,1,1,"VSpdUnk","VSzUnk",0,0
